Year,Prod,LCI,UCI,SST,AMO,NAO,AO,SPG,ENSO,Harv,Src,Days
1870,,,,,,,,,,,no data,
1871,,,,,0.0925,-0.85,,1.66,26.482,,no data,
1872,,,,,0.049,-0.83,-0.622,0.56,26.531,,no data,
1873,,,,,0.0436,0.17,-0.535,0.8,26.279,,no data,
1874,,,,,0.0318,2.32,0.105,0.93,26.18,,no data,
1875,,,,,0.0113,-2.1,-0.044,2.13,26.152,,no data,
1876,,,,,-0.0161,-1.85,-0.462,2.3,26.259,,no data,
1877,,,,,0.147,-0.24,-1.129,2.78,27.645,,no data,
1878,3.907,3.367,4.447,7.425,0.4028,-4.03,-0.505,4.57,28.497,,no data,
1879,4.208,3.614,4.803,6.85,0.2486,-0.69,-0.651,4.78,26.511,,no data,
1880,5.059,4.381,5.737,8.033,0.0352,-1.86,0.067,4.32,26.317,78960.0,feather export,70.0
1881,5.897,5.119,6.675,6.542,0.1282,-2.84,-0.779,5.0,27.211,91800.0,feather export,70.0
1882,6.338,5.512,7.164,7.033,-0.0727,2.06,0.358,2.43,26.693,65260.0,feather export,70.0
1883,5.602,4.809,6.394,7.017,-0.0227,1.73,-0.292,1.05,26.642,107960.0,feather export,70.0
1884,4.48,3.849,5.111,6.992,-0.0214,1.38,-0.114,1.42,27.057,107480.0,feather export,70.0
1885,4.244,3.668,4.82,6.292,-0.098,-1.4,-0.397,1.68,27.28,174640.0,feather export,70.0
1886,4.338,3.759,4.917,6.4,0.1351,0.2,-0.029,3.09,26.973,135180.0,feather export,70.0
1887,3.932,3.394,4.47,6.208,0.0512,-3.05,0.092,3.67,26.056,91160.0,feather export,70.0
1888,3.64,3.151,4.129,5.233,0.2049,-2.94,-0.516,5.8,27.362,80540.0,feather export,70.0
1889,3.18,2.7,3.659,6.883,0.2158,2.57,0.026,4.14,27.837,117580.0,feather export,70.0
1890,3.469,2.967,3.97,7.367,-0.0379,2.97,-0.053,2.05,25.761,69960.0,feather export,70.0
1891,5.184,4.483,5.885,6.992,-0.0232,-0.34,-0.351,3.27,26.699,108820.0,feather export,70.0
1892,7.377,6.406,8.347,6.333,-0.0376,-2.49,-0.381,3.02,26.674,58500.0,feather export,70.0
1893,8.869,7.713,10.026,7.092,-0.066,-1.32,-0.417,4.16,25.774,43120.0,feather export,70.0
1894,8.969,7.773,10.166,7.217,-0.1653,2.28,0.394,1.47,26.008,,no data,70.0
1895,7.766,6.672,8.86,7.475,-0.1868,-3.41,-0.45,2.74,26.623,,no data,70.0
1896,6.364,5.455,7.272,7.1,0.057,1.58,0.071,3.26,27.336,,no data,30.0
1897,6.338,5.484,7.193,6.958,0.1488,0.38,-0.209,1.95,27.718,,no data,30.0
1898,7.116,6.154,8.079,7.092,0.0855,0.95,-0.031,1.74,26.515,84079.0,corrected public record,30.0
1899,7.431,6.394,8.468,7.083,0.0618,-2.4,-0.19,1.84,26.762,50639.0,corrected public record,30.0
1900,7.958,6.902,9.014,6.808,0.1267,0.22,-0.199,2.81,28.006,50611.0,corrected public record,30.0
1901,8.526,7.394,9.657,7.033,0.1368,-0.78,0.062,2.26,27.198,74694.0,corrected public record,30.0
1902,8.183,7.055,9.31,6.575,-0.1077,-2.61,-0.475,3.38,27.205,59129.0,corrected public record,30.0
1903,7.087,6.097,8.076,7.108,-0.0962,1.69,0.222,0.45,27.776,70508.0,corrected public record,30.0
1904,6.732,5.835,7.629,7.092,-0.3605,1.46,0.088,-1.23,26.657,84908.0,corrected public record,30.0
1905,6.592,5.683,7.502,6.933,-0.2097,1.12,0.229,-0.11,27.736,89874.0,corrected public record,30.0
1906,6.042,5.177,6.907,6.808,-0.1247,2.29,0.183,0.05,27.617,58041.0,corrected public record,30.0
1907,6.583,5.685,7.481,7.217,-0.201,2.36,0.21,0.67,26.516,64135.0,corrected public record,30.0
1908,7.813,6.769,8.858,6.983,-0.1577,2.51,0.093,0.41,26.765,73774.0,corrected public record,30.0
1909,8.814,7.627,10.001,7.667,-0.1115,-0.87,-0.035,1.32,26.322,44900.0,corrected public record,30.0
1910,9.393,8.119,10.667,7.142,-0.262,1.62,0.168,1.08,26.026,52665.0,corrected public record,30.0
1911,9.449,8.132,10.765,7.292,-0.2117,0.99,0.277,1.22,26.342,70793.0,corrected public record,30.0
1912,9.851,8.541,11.161,7.725,-0.2008,0.11,0.085,-1.23,27.49,76616.0,corrected public record,30.0
1913,10.0,8.674,11.326,7.258,-0.3337,2.85,0.652,-3.72,26.924,98590.0,corrected public record,30.0
1914,9.092,7.881,10.304,6.842,-0.3623,2.4,0.546,-2.89,27.543,74565.0,corrected public record,30.0
1915,6.789,5.808,7.77,7.208,0.016,-2.66,-0.336,-1.72,27.574,95280.0,corrected public record,30.0
1916,4.904,4.195,5.613,7.592,-0.0122,-0.6,-0.127,-0.44,26.643,92908.0,corrected public record,30.0
1917,4.522,3.883,5.162,7.517,-0.222,-2.21,-0.146,0.33,26.229,113035.0,corrected public record,30.0
1918,5.412,4.693,6.131,6.817,-0.2639,0.45,0.53,-0.14,26.725,100085.0,corrected public record,45.0
1919,6.328,5.476,7.18,7.067,-0.2095,-0.47,0.005,-0.38,27.942,70801.0,corrected public record,45.0
1920,6.885,5.957,7.813,6.958,-0.2988,2.97,0.608,-2.55,27.28,41700.0,corrected public record,45.0
1921,6.984,6.034,7.934,7.458,-0.2697,2.32,0.782,-2.49,26.804,75043.0,corrected public record,45.0
1922,6.791,5.874,7.708,7.433,-0.263,2.21,0.369,-2.57,26.713,82461.0,corrected public record,45.0
1923,6.429,5.566,7.291,7.567,-0.3572,2.43,0.177,-2.0,26.693,99861.0,corrected public record,45.0
1924,5.635,4.848,6.422,7.45,-0.1396,-0.02,-0.289,-0.51,27.188,99861.0,corrected public record,45.0
1925,4.916,4.224,5.609,7.692,-0.2165,0.18,0.478,-2.4,26.645,93573.0,corrected public record,45.0
1926,4.633,4.002,5.264,7.833,0.0323,-0.31,0.026,-1.73,28.017,104472.0,corrected public record,45.0
1927,4.786,4.172,5.399,7.75,0.1074,-0.49,0.018,-1.19,26.878,82438.0,corrected public record,45.0
1928,4.282,3.705,4.859,8.3,0.0303,1.43,0.013,-1.8,27.061,71237.0,corrected public record,45.0
