dataset_id,scientific_name,common_name,site_name,colony_name,lat_colony,lon_colony,device,bird_id,track_id,original_track_id,age,sex,breed_stage,breed_status,date_gmt,time_gmt,latitude,longitude,argos_quality,equinox
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-03-04,00:00:00,47.89000,-26.82000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-03-03,12:00:00,37.65000,-25.54000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-03-03,00:00:00,28.45000,-26.51000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-03-02,12:00:00,35.48000,-27.49000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-02-29,00:00:00,40.37000,-25.36000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-02-28,00:00:00,47.88000,-24.69000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-02-27,00:00:00,45.01000,-23.90000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-02-26,00:00:00,42.27000,-26.36000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-02-25,12:00:00,42.06000,-26.46000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-02-25,00:00:00,44.49000,-25.69000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-02-24,12:00:00,41.68000,-25.18000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V499278,1127_V499278_75194,75194,adult,unknown,migration,non-breeding,2008-02-23,00:00:00,46.31000,-24.38000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V484271,1127_V484271_75193,75193,adult,unknown,migration,non-breeding,2008-08-02,12:00:00,52.96000,-15.07000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V417146,1127_V417146_75187,75187,adult,unknown,migration,non-breeding,2007-07-26,00:00:00,63.05000,-18.87000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V417146,1127_V417146_75187,75187,adult,unknown,migration,non-breeding,2007-08-07,00:00:00,62.17000,-19.03000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V417146,1127_V417146_75187,75187,adult,unknown,migration,non-breeding,2007-08-08,00:00:00,61.66000,-19.69000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V417146,1127_V417146_75187,75187,adult,unknown,migration,non-breeding,2007-08-09,00:00:00,61.86000,-20.35000,NA,no
1127,"Fratercula arctica","Atlantic Puffin",Iceland,Storhofdi,63.4,-20.29,GLS,V484271,1127_V484271_75193,75193,adult,unknown,migration,non-breeding,2007-07-26,00:00:00,62.14000,-23.87000,NA,no
